Numéro_sim;typpos;nbpiece_Eth;capbat;capcont;franchise_amount;abex;zip;Date_naissance;garages;couverture;typhab;classgeo;CDPISEV;daconri2;tyhabri2;primebat;primecont
1;pro;6;175140,24;54119,64;261,73;809;1000;12/06/1980;0;B;App;4;;1964;CL;164,3340872;52,1496851
2;loc;1;27730,538;9019,94;261,73;809;1000;12/08/1967;0;B;App;4;;1961;SO;41,17984893;13,03742128
3;loc;6;176891,6424;54119,64;261,73;809;1000;10/05/1996;0;B;M4;4;;2000;VI;109,4517037;52,1496851
4;loc;1;27730,538;9019,94;261,85;809;1000;01/02/2001;0;B;App;4;;1980;SO;41,17984893;13,03742128
5;pro;6;138621,321;54119,64;261,73;809;1000;18/08/1948;0;B;M2;4;;1996;MO;156,6732825;52,1496851
6;pro;13;335123,1234;117259,22;261,85;809;1000;25/08/1981;0;B;M2;4;;1915;MA;285,8600243;87,09721714
7;pro;9;232008,3162;81179,46;261,73;809;1000;03/11/1963;0;B;M2;4;;1939;MA;222,6409804;65,18710638
8;loc;1;28073,3135;9131,434932;263,44;819;1000;20/01/1976;0;B;App;4;;1930;SO;41,68887055;13,19857605
9;pro;4;112293,254;36525,73973;263,33;819;1000;02/08/1993;0;B;App;4;;1971;SO;122,1273357;38,1292197
10;loc;1;28073,3135;9131,434932;263,44;819;1000;10/11/1995;0;B;App;4;;2007;SO;41,68887055;13,19857605
11;pro;9;281915,1693;82182,91439;263,57;819;1000;29/08/1990;0;B;App;4;;1919;LU;222,4381164;65,99288025
12;loc;5;115517,7675;45099,7;261,73;809;1000;02/04/1992;0;B;M2;4;;1967;MO;77,19474813;47,07957683
13;pro;5;138652,69;45099,7;263,52;809;1000;01/06/1993;0;B;App;4;;1980;SO;138,9681249;47,07957683
14;loc;1;28553,1992;9287,527837;265,41;833;1000;05/04/1994;0;B;App;4;;1920;SO;42,40150081;13,42419274
15;loc;1;27730,538;9019,94;261,85;809;1000;28/02/1991;0;B;App;4;;1950;SO;41,17984893;13,03742128
16;pro;4;114212,7968;37150,11135;263,5;833;1000;02/08/1993;0;B;App;4;;1971;SO;124,2149825;38,78100124
17;pro;8;233520,32;72159,52;263,38;809;1000;26/07/1992;0;B;App;4;;2019;CL;194,2130121;63,73850402
18;pro;12;353783,2848;108239,28;261,73;809;1000;26/04/1981;0;B;M4;4;;1951;VI;294,2327134;82,57033475
19;pro;8;213840,16;72159,52;261,73;809;1000;03/04/1985;0;B;M3;4;;2001;BO;205,2063635;63,73850402
20;loc;1;28073,3135;9131,434932;263,64;819;1000;21/06/1967;0;B;App;4;;2014;SO;41,68887055;13,19857605
21;pro;7;161724,8745;63139,58;261,73;809;1000;24/06/1990;0;B;M2;4;;1976;MO;172,4391474;58,30624515
22;pro;9;232008,3162;81179,46;261,73;809;1000;02/11/1963;0;B;M2;4;;1939;MA;222,6409804;65,18710638
23;loc;1;27730,538;9019,94;261,85;809;1000;28/12/1968;0;B;App;4;;1998;SO;41,17984893;13,03742128
24;pro;7;206373,5828;63139,58;261,73;809;1000;27/05/1978;0;B;M4;4;;1967;VI;211,2439994;58,30624515
25;pro;6;175140,24;54119,64;261,73;809;1000;19/06/1992;0;B;App;4;;1950;CL;164,3340872;52,1496851
26;pro;8;236406,8505;73051,47946;263,64;819;1000;03/07/1984;0;B;App;4;;2005;CL;196,6136674;64,5263718
27;pro;10;257787,018;90199,4;261,73;809;1000;13/10/1974;0;B;M2;4;;1901;MA;236,3842508;72,4301182
28;loc;1;28073,3135;9131,434932;263,61;819;1000;30/05/1994;0;B;App;4;;1981;SO;41,68887055;13,19857605
29;loc;1;28073,3135;9131,434932;263,43;819;1000;06/11/1979;0;B;App;4;;2013;SO;41,68887055;13,19857605
30;pro;7;206855,9942;63920,04452;262,39;819;1000;29/07/1969;0;B;App;4;;1912;CL;185,2705712;59,02696512
31;loc;1;27730,538;9019,94;261,73;809;1000;25/08/1978;0;B;App;4;;1961;SO;41,17984893;13,03742128
32;pro;6;168439,881;54788,60959;263,44;819;1000;06/08/1950;0;B;App;4;;1968;SO;158,0471403;52,7943042
33;pro;6;171319,1952;55725,16702;263,5;833;1000;02/08/1968;0;B;App;4;;2005;SO;160,7488009;53,69677094
34;pro;7;163723,9459;63920,04452;263,44;819;1000;18/02/1989;0;B;M2;4;;1930;MO;174,5706573;59,02696512
35;pro;9;265337,4636;81179,46;261,85;809;1000;01/01/1996;0;B;M4;4;;2006;VI;243,3078207;65,18710638
36;loc;1;27730,538;9019,94;261,73;809;1000;29/04/1985;0;B;App;4;;1960;SO;41,17984893;13,03742128
37;loc;1;27730,538;9019,94;263,52;809;1000;25/08/1949;0;B;App;4;;1950;SO;41,17984893;13,03742128
38;pro;11;324301,3444;99219,34;261,85;809;1000;25/09/1985;0;B;M4;4;;2016;VI;276,6290468;77,68130177
39;pro;5;140366,5675;45657,17466;263,33;819;1000;16/08/1975;0;B;App;4;;1974;SO;140,6859014;47,66152463
40;loc;1;27730,538;9019,94;261,73;809;1000;11/10/1987;0;B;App;4;;2016;SO;41,17984893;13,03742128
41;loc;1;28553,1992;9287,527837;265,41;833;1000;29/06/1992;0;B;App;4;;1950;SO;42,40150081;13,42419274
42;loc;1;28073,3135;9131,434932;263,44;819;1000;20/01/1976;0;B;App;4;;1930;SO;41,68887055;13,19857605
43;loc;1;28073,3135;9131,434932;263,61;819;1000;22/07/1975;0;B;App;4;;1950;SO;41,68887055;13,19857605
44;loc;1;27730,538;9019,94;263,52;809;1000;03/05/1985;0;B;App;4;;2006;SO;41,17984893;13,03742128
45;pro;8;206229,6144;72159,52;261,85;809;1000;21/04/1990;0;B;M2;4;;1850;MA;211,0966333;63,73850402
46;loc;6;177305,1379;54788,60959;263,44;819;1000;29/03/1975;0;B;App;4;;1938;CL;96,54264759;52,7943042
47;loc;6;177305,1379;54788,60959;263,44;819;1000;29/03/1975;0;B;App;4;;1938;CL;96,54264759;52,7943042
48;loc;1;27730,538;9019,94;3154,2;809;1000;28/09/1979;0;B;App;4;;1970;SO;41,17984893;13,03742128
49;pro;9;218875,77;81179,46;261,85;809;1000;30/05/1986;0;B;M2;4;;1954;BO;219,3737124;65,18710638
50;loc;1;28073,3135;9131,434932;263,57;819;1000;17/06/1992;0;B;App;4;;1950;SO;41,68887055;13,19857605
51;pro;19;587887,4056;171378,86;263,52;809;1000;01/10/1973;0;B;M4;4;;1831;ST;401,1743656;103,2129184
52;loc;1;27730,538;9019,94;261,85;809;1000;06/03/1990;0;B;App;4;;1800;SO;41,17984893;13,03742128
53;loc;1;27730,538;9019,94;261,85;809;1000;17/03/1993;0;B;App;4;;1979;SO;41,17984893;13,03742128
54;loc;1;27730,538;9019,94;263,52;809;1000;26/10/1992;0;B;App;4;;2016;SO;41,17984893;13,03742128
55;pro;6;138621,321;54119,64;261,73;809;1000;21/06/1985;0;B;M2;4;;1930;MO;156,6732825;52,1496851
